ax,ay,az,atotal,soco
0.26,0.17,-0.12,0.33,0
0.23,0.23,-0.07,0.33,0
0.07,-0.23,0.23,0.33,0
-0.19,0.16,0.23,0.33,0
-0.19,0.08,-0.27,0.33,0
-0.11,-0.22,-0.22,0.33,0
-0.11,0.24,-0.21,0.33,0
-0.09,0.25,0.2,0.33,0
-0.04,-0.18,-0.28,0.33,0
-0.24,0.11,-0.22,0.34,0
-0.23,0.12,0.23,0.34,0
-0.11,-0.05,-0.32,0.34,0
-0.05,-0.31,0.14,0.34,0
-0.03,-0.13,0.32,0.34,0
0.15,-0.18,-0.27,0.35,0
0.09,0.07,0.34,0.35,0
-0.25,-0.16,-0.2,0.35,0
-0.06,-0.16,-0.31,0.35,0
-0.02,-0.2,-0.29,0.35,0
0.08,0.1,0.34,0.36,0
-0.07,-0.23,0.28,0.36,0
0.12,0.11,0.34,0.37,0
0.11,0.12,0.34,0.37,0
0.08,-0.13,0.34,0.37,0
-0.04,-0.28,0.24,0.37,0
0.2,0.02,0.33,0.38,0
0.17,0.02,0.34,0.38,0
0.01,-0.05,0.38,0.38,0
-0.32,0.0,0.22,0.38,0
-0.1,-0.34,0.16,0.38,0
-0.04,-0.14,-0.36,0.38,0
0.35,-0.09,-0.15,0.39,0
0.17,-0.09,0.35,0.39,0
0.12,-0.18,0.33,0.39,0
-0.32,0.1,-0.21,0.39,0
-0.32,-0.16,-0.16,0.39,0
-0.31,-0.14,-0.21,0.39,0
-0.31,0.11,-0.21,0.39,0
-0.27,-0.12,-0.26,0.39,0
-0.13,0.24,-0.29,0.39,0
-0.04,-0.38,0.08,0.39,0
0.17,-0.26,-0.26,0.4,0
0.16,-0.33,-0.17,0.4,0
0.13,-0.16,0.35,0.4,0
-0.3,-0.04,-0.27,0.4,0
-0.28,-0.21,-0.21,0.4,0
-0.18,0.01,0.36,0.4,0
-0.38,-0.01,-0.16,0.41,0
-0.36,0.0,-0.21,0.41,0
-0.31,-0.2,-0.2,0.41,0
0.34,-0.02,0.26,0.42,0
0.23,0.2,-0.3,0.42,0
0.12,0.1,0.39,0.42,0
0.09,-0.2,0.36,0.42,0
0.06,-0.34,0.24,0.42,0
0.04,-0.29,0.31,0.42,0
-0.4,-0.02,-0.13,0.42,0
-0.19,0.19,0.33,0.42,0
-0.18,0.24,-0.3,0.42,0
0.23,0.27,-0.26,0.43,0
0.05,-0.22,0.37,0.43,0
-0.38,-0.03,-0.2,0.43,0
-0.37,0.07,-0.22,0.43,0
-0.34,-0.11,-0.25,0.43,0
-0.1,-0.19,-0.38,0.43,0
-0.2,-0.01,-0.4,0.44,0
-0.12,-0.11,0.41,0.44,0
-0.03,0.2,0.4,0.44,0
